sample,fastq_1,fastq_2,strandedness
1A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/1A_R1_001.fastq.gz,,unstranded
1B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/1B_R1_001.fastq.gz,,unstranded
2A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/2A_R1_001.fastq.gz,,unstranded
2B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/2B_R1_001.fastq.gz,,unstranded
3A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/3A_R1_001.fastq.gz,,unstranded
3B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/3B_R1_001.fastq.gz,,unstranded
4A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/4A_R1_001.fastq.gz,,unstranded
4B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/4B_R1_001.fastq.gz,,unstranded
5A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/5A_R1_001.fastq.gz,,unstranded
5B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/5B_R1_001.fastq.gz,,unstranded
6A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/6A_R1_001.fastq.gz,,unstranded
6B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/6B_R1_001.fastq.gz,,unstranded
7A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/7A_R1_001.fastq.gz,,unstranded
7B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/7B_R1_001.fastq.gz,,unstranded
8A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/8A_R1_001.fastq.gz,,unstranded
8B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/8B_R1_001.fastq.gz,,unstranded
9A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/9A_R1_001.fastq.gz,,unstranded
9B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/9B_R1_001.fastq.gz,,unstranded
10A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/10A_R1_001.fastq.gz,,unstranded
10B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/10B_R1_001.fastq.gz,,unstranded
11A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/11A_R1_001.fastq.gz,,unstranded
11B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/11B_R1_001.fastq.gz,,unstranded
12A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/12A_R1_001.fastq.gz,,unstranded
12B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/12B_R1_001.fastq.gz,,unstranded
13A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/13A_R1_001.fastq.gz,,unstranded
13B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/13B_R1_001.fastq.gz,,unstranded
14A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/14A_R1_001.fastq.gz,,unstranded
14B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/14B_R1_001.fastq.gz,,unstranded
15A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/15A_R1_001.fastq.gz,,unstranded
15B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/15B_R1_001.fastq.gz,,unstranded
16A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/16A_R1_001.fastq.gz,,unstranded
16B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/16B_R1_001.fastq.gz,,unstranded
17A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/17A_R1_001.fastq.gz,,unstranded
17B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/17B_R1_001.fastq.gz,,unstranded
18A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/18A_R1_001.fastq.gz,,unstranded
18B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/18B_R1_001.fastq.gz,,unstranded
19A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/19A_R1_001.fastq.gz,,unstranded
19B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/19B_R1_001.fastq.gz,,unstranded
20A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/20A_R1_001.fastq.gz,,unstranded
20B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/20B_R1_001.fastq.gz,,unstranded
21A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/21A_R1_001.fastq.gz,,unstranded
21B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/21B_R1_001.fastq.gz,,unstranded
22A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/22A_R1_001.fastq.gz,,unstranded
22B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/22B_R1_001.fastq.gz,,unstranded
23A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/23A_R1_001.fastq.gz,,unstranded
23B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/23B_R1_001.fastq.gz,,unstranded
