sample,fastq_1,fastq_2,strandedness
24A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/24A_R1_001.fastq.gz,,unstranded
24B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/24B_R1_001.fastq.gz,,unstranded
25A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/25A_R1_001.fastq.gz,,unstranded
25B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/25B_R1_001.fastq.gz,,unstranded
26A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/26A_R1_001.fastq.gz,,unstranded
26B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/26B_R1_001.fastq.gz,,unstranded
27A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/27A_R1_001.fastq.gz,,unstranded
27B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/27B_R1_001.fastq.gz,,unstranded
28A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/28A_R1_001.fastq.gz,,unstranded
28B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/28B_R1_001.fastq.gz,,unstranded
29A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/29A_R1_001.fastq.gz,,unstranded
29B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/29B_R1_001.fastq.gz,,unstranded
30A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/30A_R1_001.fastq.gz,,unstranded
30B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/30B_R1_001.fastq.gz,,unstranded
31A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/31A_R1_001.fastq.gz,,unstranded
31B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/31B_R1_001.fastq.gz,,unstranded
32A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/32A_R1_001.fastq.gz,,unstranded
32B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/32B_R1_001.fastq.gz,,unstranded
33A,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/33A_R1_001.fastq.gz,,unstranded
33B,s3://modulus-xfer/genewiz/30-618340104/demuxed_fastq/33B_R1_001.fastq.gz,,unstranded
